,timestamp,site_id,site_name,year,NO2,NO2_CPCB,Percent_Coverage,prevalent_error,pollutant
67,35040.0,site_5396,Deonar_Mumbai_IITM,2021,33678.0,25416.0,72.53424657534246,C6,"PM25,PM10,NO2,Ozone"
68,35040.0,site_5396,Deonar_Mumbai_IITM,2022,28035.0,18038.0,51.47831050228311,C6,"PM25,PM10,NO2,Ozone"
69,35040.0,site_5396,Deonar_Mumbai_IITM,2023,27856.0,14742.0,42.071917808219176,C4,"PM25,PM10,NO2,Ozone"
70,35136.0,site_5397,Khindipada-Bhandup_West_Mumbai_IITM,2020,1144.0,967.0,2.7521630236794175,C1,"PM25,PM10,NO2,Ozone"
71,35040.0,site_5397,Khindipada-Bhandup_West_Mumbai_IITM,2021,32263.0,20419.0,58.27340182648402,C1,"PM25,PM10,NO2,Ozone"
72,35040.0,site_5397,Khindipada-Bhandup_West_Mumbai_IITM,2022,33523.0,15256.0,43.538812785388124,C1,"PM25,PM10,NO2,Ozone"
73,35040.0,site_5397,Khindipada-Bhandup_West_Mumbai_IITM,2023,18749.0,9625.0,27.46860730593607,C1,"PM25,PM10,NO2,Ozone"
74,35136.0,site_5398,Navy_Nagar-Colaba_Mumbai_IITM,2020,4564.0,3682.0,10.479280510018214,C1,"PM25,PM10,NO2,Ozone"
75,35040.0,site_5398,Navy_Nagar-Colaba_Mumbai_IITM,2021,23738.0,18469.0,52.708333333333336,C1,"PM25,PM10,NO2,Ozone"
76,35040.0,site_5398,Navy_Nagar-Colaba_Mumbai_IITM,2022,23845.0,18407.0,52.531392694063925,C1,"PM25,PM10,NO2,Ozone"
77,35040.0,site_5398,Navy_Nagar-Colaba_Mumbai_IITM,2023,15092.0,9781.0,27.913812785388124,C1,"PM25,PM10,NO2,Ozone"
78,35136.0,site_5399,Chakala-Andheri_East_Mumbai_IITM,2020,2107.0,1713.0,4.875341530054645,C2,"PM25,PM10,NO2,Ozone"
79,35040.0,site_5399,Chakala-Andheri_East_Mumbai_IITM,2021,28072.0,22842.0,65.18835616438356,C2,"PM25,PM10,NO2,Ozone"
80,35040.0,site_5399,Chakala-Andheri_East_Mumbai_IITM,2022,25616.0,19197.0,54.78595890410959,C1,"PM25,PM10,NO2,Ozone"
